"table_name","column_name","data_type","character_maximum_length","is_nullable","column_default","key_type"
"gilgamesh_user_tags","created_at","timestamp without time zone",NULL,"YES","now()",""
"gilgamesh_users","id","uuid",NULL,"NO","gen_random_uuid()","PRIMARY KEY"
"gilgamesh_users","telegram_id","text",NULL,"NO",NULL,""
"gilgamesh_users","username","text",NULL,"YES",NULL,""
"gilgamesh_users","created_at","timestamp without time zone",NULL,"YES","now()",""
"gilgamesh_users","updated_at","timestamp without time zone",NULL,"YES","now()",""
"gilgamesh_values","id","uuid",NULL,"NO","gen_random_uuid()","PRIMARY KEY"
"gilgamesh_values","user_id","uuid",NULL,"NO",NULL,"FOREIGN KEY -> gilgamesh_users(id)"
"gilgamesh_values","label","text",NULL,"NO",NULL,""
"gilgamesh_values","description","text",NULL,"YES",NULL,""
"gilgamesh_values","details","text",NULL,"YES",NULL,""
"gilgamesh_values","created_at","timestamp without time zone",NULL,"YES","now()",""
